akc_id	type	TRA_chain	TRB_chain
iedb_receptor:21769	AlphaBetaTCR		iedb_receptor:21769-beta
iedb_receptor:21770	AlphaBetaTCR		iedb_receptor:21770-beta
iedb_receptor:21771	AlphaBetaTCR		iedb_receptor:21771-beta
iedb_receptor:21772	AlphaBetaTCR		iedb_receptor:21772-beta
iedb_receptor:21773	AlphaBetaTCR		iedb_receptor:21773-beta
iedb_receptor:21774	AlphaBetaTCR		iedb_receptor:21774-beta
iedb_receptor:21775	AlphaBetaTCR		iedb_receptor:21775-beta
iedb_receptor:21776	AlphaBetaTCR		iedb_receptor:21776-beta
iedb_receptor:21777	AlphaBetaTCR		iedb_receptor:21777-beta
iedb_receptor:21778	AlphaBetaTCR		iedb_receptor:21778-beta
iedb_receptor:21779	AlphaBetaTCR		iedb_receptor:21779-beta
iedb_receptor:21780	AlphaBetaTCR		iedb_receptor:21780-beta
iedb_receptor:21781	AlphaBetaTCR		iedb_receptor:21781-beta
iedb_receptor:21782	AlphaBetaTCR		iedb_receptor:21782-beta
iedb_receptor:21783	AlphaBetaTCR		iedb_receptor:21783-beta
iedb_receptor:21784	AlphaBetaTCR		iedb_receptor:21784-beta
iedb_receptor:21785	AlphaBetaTCR		iedb_receptor:21785-beta
iedb_receptor:21786	AlphaBetaTCR		iedb_receptor:21786-beta
iedb_receptor:21787	AlphaBetaTCR		iedb_receptor:21787-beta
iedb_receptor:21788	AlphaBetaTCR		iedb_receptor:21788-beta
iedb_receptor:21789	AlphaBetaTCR		iedb_receptor:21789-beta
iedb_receptor:21790	AlphaBetaTCR		iedb_receptor:21790-beta
iedb_receptor:21791	AlphaBetaTCR		iedb_receptor:21791-beta
iedb_receptor:21792	AlphaBetaTCR		iedb_receptor:21792-beta
iedb_receptor:21793	AlphaBetaTCR		iedb_receptor:21793-beta
iedb_receptor:21794	AlphaBetaTCR		iedb_receptor:21794-beta
iedb_receptor:21795	AlphaBetaTCR		iedb_receptor:21795-beta
iedb_receptor:21796	AlphaBetaTCR		iedb_receptor:21796-beta
iedb_receptor:21797	AlphaBetaTCR		iedb_receptor:21797-beta
iedb_receptor:21798	AlphaBetaTCR		iedb_receptor:21798-beta
iedb_receptor:21799	AlphaBetaTCR		iedb_receptor:21799-beta
iedb_receptor:21800	AlphaBetaTCR		iedb_receptor:21800-beta
iedb_receptor:21801	AlphaBetaTCR		iedb_receptor:21801-beta
iedb_receptor:21802	AlphaBetaTCR		iedb_receptor:21802-beta
iedb_receptor:21803	AlphaBetaTCR		iedb_receptor:21803-beta
iedb_receptor:21804	AlphaBetaTCR		iedb_receptor:21804-beta
iedb_receptor:21805	AlphaBetaTCR		iedb_receptor:21805-beta
iedb_receptor:21806	AlphaBetaTCR		iedb_receptor:21806-beta
iedb_receptor:21807	AlphaBetaTCR		iedb_receptor:21807-beta
iedb_receptor:21808	AlphaBetaTCR		iedb_receptor:21808-beta
iedb_receptor:21809	AlphaBetaTCR		iedb_receptor:21809-beta
iedb_receptor:21810	AlphaBetaTCR		iedb_receptor:21810-beta
iedb_receptor:21811	AlphaBetaTCR		iedb_receptor:21811-beta
iedb_receptor:21812	AlphaBetaTCR		iedb_receptor:21812-beta
iedb_receptor:21813	AlphaBetaTCR		iedb_receptor:21813-beta
iedb_receptor:21814	AlphaBetaTCR		iedb_receptor:21814-beta
iedb_receptor:21815	AlphaBetaTCR		iedb_receptor:21815-beta
iedb_receptor:21816	AlphaBetaTCR		iedb_receptor:21816-beta
iedb_receptor:21817	AlphaBetaTCR		iedb_receptor:21817-beta
iedb_receptor:21818	AlphaBetaTCR		iedb_receptor:21818-beta
iedb_receptor:21819	AlphaBetaTCR		iedb_receptor:21819-beta
iedb_receptor:21820	AlphaBetaTCR		iedb_receptor:21820-beta
iedb_receptor:21821	AlphaBetaTCR		iedb_receptor:21821-beta
iedb_receptor:21822	AlphaBetaTCR		iedb_receptor:21822-beta
iedb_receptor:21823	AlphaBetaTCR		iedb_receptor:21823-beta
iedb_receptor:21824	AlphaBetaTCR		iedb_receptor:21824-beta
iedb_receptor:21825	AlphaBetaTCR		iedb_receptor:21825-beta
iedb_receptor:21826	AlphaBetaTCR		iedb_receptor:21826-beta
iedb_receptor:21827	AlphaBetaTCR		iedb_receptor:21827-beta
